index,name,score,type,stars,time,thumb,country,runtime,company,first_week_box_office,total_box_office
23,火山挚恋,9.4,纪录片／传记,卡提亚·克拉夫特／莫里斯·克拉夫特／米兰达·裘丽,2023-08-18,https://p0.pipi.cn/mmdb/fb738633d7cc7e338f339e23d3d1ae187df53.jpg?imageView2/1/w/218/h/300,美国 ,98,美国沙箱影片,180,631
24,跨过鸭绿江,9.4,剧情／历史／战争,丁勇岱／唐国强／孙维民,2021-12-17,https://p0.pipi.cn/mmdb/d2dad52f51b92316bdd2366210ec9b4fcad40.jpg?imageView2/1/w/218/h/300,中国大陆 ,154,中央广播电视总台影视剧纪录片中心,1975,10417
25,远去的牧歌,9.4,剧情／西部／冒险,海拉提·哈木／玛尔江·巴依吐肯／丽娜·夏侃,2018-09-11,https://p0.pipi.cn/mmdb/d2dad5925370fa57e2b860120c5745dc6b5c1.jpg?imageView2/1/w/218/h/300,中国大陆 ,93,天山电影制片厂,暂无,1032
26,大寒,9.4,剧情／战争,张双兵／鲁园／许薇,2018-08-14,https://p0.pipi.cn/mmdb/d2dad59206db12cbae71f7d00b463a1b373c5.jpg?imageView2/1/w/218/h/300,中国大陆 ,110,阳泉广电传媒有限公司,16,670
27,尺八·一声一世,9.4,纪录片／音乐,佐藤康夫／小凑昭尚／蔡鸿文,2019-05-31,https://p0.pipi.cn/mmdb/d2dad5925372ff9ab47e12d85d41d376f1f67.jpg?imageView2/1/w/218/h/300,中国大陆 ,88,上海天人慧致文化传播有限公司,72,378
28,珍·古道尔的传奇一生,9.4,纪录片／传记,珍·古道尔／雨果·凡·拉维克／雨果·埃里克·路易斯·凡·拉维克,2023-10-17,https://p0.pipi.cn/mmdb/fb738692f2a33921f087a9f39fdf205f14374.jpg?imageView2/1/w/218/h/300,美国 ,90,美国国家地理,147,324
29,流浪地球2,9.3,科幻／冒险／灾难,吴京／刘德华／李雪健,2023-01-22 09:00,https://p0.pipi.cn/mmdb/fb73868d9ab923338f300ba4e3ad51eb64f40.jpg?imageView2/1/w/218/h/300,中国大陆 ,173,郭帆（北京）影业有限公司,147,47963
30,哥斯拉大战金刚2：帝国崛起,9.3,动作／冒险／科幻,金刚／哥斯拉／丽贝卡·豪尔,2024-03-29 09:00,https://p0.pipi.cn/mmdb/54ecde87d7c92367cb57e2b8d64090fd73c8d.jpg?imageView2/1/w/218/h/300,美国 ,115,美国传奇影片公司,37,31723
1,中国医生,9.3,剧情,张涵予／袁泉／朱亚文,2021-07-09,https://p0.pipi.cn/mmdb/d2dad5927a3be17df5339e69579b5b02a473e.jpg?imageView2/1/w/218/h/300,中国大陆 ,129,广东博纳影业传媒有限公司,34953,132886
2,怒火·重案,9.3,动作,甄子丹／谢霆锋／秦岚,2021-07-30,https://p0.pipi.cn/mmdb/fb7386028ea9237a353139a6b3664e7ac1355.jpg?imageView2/1/w/218/h/300,"中国大陆,中国香港 ",128,公元电影有限公司,24023,132936
